salt_100g,sugars_100g,saturated-fat_100g,fiber_100g,proteins_100g,additives_n,label
0.0,3.57,0.0,3.57,12.5,0.0,healthy
1.0,4.0,1.5,4.0,9.01,1.0,moderate
0.0,17.0,0.0,0.858,0.987,0.0,unhealthy
0.0,5.9,0.5,20.1,53.8,0.0,moderate
0.125,27.5,0.0,0.0,2.5,6.0,unhealthy
0.125,30.0,0.0,0.0,2.5,9.0,unhealthy
0.125,30.0,0.0,0.0,2.5,5.0,unhealthy
0.15625,30.0,0.0,0.0,2.5,8.0,unhealthy
0.15625,30.0,0.0,0.0,2.5,8.0,unhealthy
0.1875,30.0,0.0,0.0,2.5,11.0,unhealthy
0.0625,42.5,0.0,0.0,5.0,5.0,unhealthy
0.0625,42.5,0.0,0.0,5.0,7.0,unhealthy
0.0625,42.5,0.0,0.0,5.0,9.0,unhealthy
0.0625,42.5,0.0,0.0,5.0,4.0,unhealthy
0.03,40.0,0.0,0.0,5.0,8.0,unhealthy
0.03,40.0,0.0,0.0,5.0,8.0,unhealthy
0.03,40.0,0.0,0.0,5.0,8.0,unhealthy
0.075,100.0,0.0,0.0,12.5,8.0,unhealthy
0.03,40.0,0.0,0.0,5.0,8.0,unhealthy
0.03,40.0,0.0,0.0,5.0,8.0,unhealthy
0.125,45.0,0.0,0.0,5.0,8.0,unhealthy
0.0,0.0,20.0,12.0,4.0,2.0,unhealthy
0.22,57.32,0.0,0.0,4.41,8.0,unhealthy
0.127,57.5,0.0,0.0,5.0,9.0,unhealthy
0.0762,24.0,0.0,0.0,0.0,7.0,unhealthy
0.28,65.0,0.0,0.0,2.5,13.0,unhealthy
0.125,52.5,0.0,0.0,7.5,8.0,unhealthy
0.025,90.0,0.0,0.0,0.0,7.0,unhealthy
0.125,52.5,0.0,0.0,7.5,8.0,unhealthy
0.095,70.0,0.0,0.0,0.0,10.0,unhealthy
0.28,67.5,0.0,0.0,2.5,11.0,unhealthy
0.03,42.5,0.0,0.0,2.5,8.0,unhealthy
0.03,42.5,0.0,0.0,2.5,6.0,unhealthy
0.03,42.5,0.0,0.0,2.5,6.0,unhealthy
0.125,52.5,0.0,0.0,7.5,8.0,unhealthy
0.1875,60.0,0.0,0.0,0.0,8.0,unhealthy
0.0,75.0,17.5,5.0,2.5,6.0,unhealthy
0.0,75.0,17.5,5.0,2.5,6.0,unhealthy
0.0,75.0,17.5,5.0,2.5,6.0,unhealthy
0.1875,60.0,0.0,0.0,0.0,8.0,unhealthy
0.0,42.86,0.0,0.0,7.14,7.0,unhealthy
0.0,42.86,0.0,0.0,7.14,6.0,unhealthy
0.0,75.0,0.0,10.7,3.57,0.0,unhealthy
0.0,64.29,0.0,14.3,3.57,0.0,unhealthy
0.0,78.57,0.0,10.7,3.57,0.0,unhealthy
0.1475,82.35,0.0,2.9,0.0,0.0,unhealthy
0.0,70.0,0.0,10.0,0.0,1.0,unhealthy
0.0,60.0,0.0,10.0,0.0,0.0,unhealthy
0.0,80.0,0.0,10.0,0.0,0.0,unhealthy
0.10668,83.33,0.0,0.0,0.0,0.0,unhealthy
0.0,75.0,0.0,5.0,0.0,0.0,unhealthy
0.0,75.0,0.0,5.0,0.0,0.0,unhealthy
0.0,75.0,0.0,5.0,0.0,0.0,unhealthy
0.0,3.57,0.0,10.7,12.5,0.0,moderate
0.0,3.57,0.0,10.7,12.5,0.0,moderate
1.6975,3.57,7.14,0.0,7.14,10.0,unhealthy
1.5175,3.57,8.93,0.0,7.14,14.0,unhealthy
1.6975,3.57,8.93,0.0,7.14,6.0,unhealthy
1.205,0.0,12.5,0.0,7.14,7.0,unhealthy
1.205,0.0,12.5,0.0,7.14,7.0,unhealthy
